trace_length,trace_length_ns,qubit_0_dFdT,qubit_1_dFdT,qubit_2_dFdT,qubit_3_dFdT,qubit_4_dFdT
50,100,3.25674858e+05,1.36285487e+05,2.68538518e+05,3.35735035e+05,3.99976493e+05
100,200,4.23529857e+05,1.77364774e+05,3.34352010e+05,4.32877287e+05,5.17465473e+05
150,300,5.33673709e+05,2.24345623e+05,3.83543331e+05,5.34983470e+05,6.41350781e+05
200,400,4.98595702e+05,2.12029958e+05,3.04909196e+05,4.82749529e+05,5.75029233e+05
250,500,3.84845989e+05,1.67872800e+05,1.79795337e+05,3.51830667e+05,4.06209736e+05
300,600,2.60560519e+05,1.18893393e+05,7.39137071e+04,2.17597985e+05,2.31076742e+05
350,700,1.61983746e+05,7.90001533e+04,8.60144577e+03,1.17694170e+05,1.02744283e+05
400,800,9.57437340e+04,5.08066138e+04,-2.38829777e+04,5.58777839e+04,2.83855485e+04
450,900,5.48097217e+04,3.20137142e+04,-3.76613435e+04,2.14774639e+04,-7.54360110e+03
500,1000,3.02673974e+04,1.96705474e+04,-4.26370176e+04,3.19362941e+03,-2.26088946e+04
550,1100,1.56091122e+04,1.16131511e+04,-4.37443907e+04,-6.46713731e+03,-2.82686430e+04
600,1200,6.86654926e+03,6.48948757e+03,-4.30997974e+04,-1.16254168e+04,-3.01477572e+04
650,1300,1.69201370e+03,3.43658025e+03,-4.16172243e+04,-1.43995667e+04,-3.05294114e+04
700,1400,-1.34673959e+03,1.78601002e+03,-3.96803333e+04,-1.58272446e+04,-3.01665761e+04
750,1500,-3.08892716e+03,9.33403469e+02,-3.72395940e+04,-1.62846018e+04,-2.90724143e+04
800,1600,-3.90181012e+03,4.20899618e+02,-3.36714214e+04,-1.56411070e+04,-2.67418341e+04
850,1700,-3.82501822e+03,6.21976076e+01,-2.78535265e+04,-1.34326716e+04,-2.23229960e+04
900,1800,-2.81979020e+03,-1.12076487e+02,-1.88047876e+04,-9.25974227e+03,-1.51272499e+04
950,1900,-2.08471323e+03,-1.41520063e+02,-1.33894317e+04,-6.65321394e+03,-1.07825916e+04
